"IndividID","GroupRef","Focal_ID","FocalDate","FocalYear","FocalMonth","BehavObsDuration","numAvgHour","tempmax","ndvi","SuccForageBoutCount","TotalDigDuration","DigProp"
462,11,"1_1","1996-12-04",1996,12,1134,7.266388889,36.63,0.25,8,193,0.170194004
516,11,"2_1","1996-12-04",1996,12,1244,7.719722222,36.63,0.25,8,247,0.198553055
463,11,"3_1","1996-12-04",1996,12,1215,8.419027778,36.63,0.25,8,191,0.157201646
147,11,"4_1","1996-12-04",1996,12,1093,9.14375,36.63,0.25,6,159,0.14547118
656,20,"7_1","1996-12-05",1996,12,1205,7.14125,36.23,0.25,9,348,0.28879668
657,20,"8_1","1996-12-05",1996,12,1202,7.55875,36.23,0.25,3,489,0.406821963
244,20,"9_1","1996-12-05",1996,12,1192,8.163333333,36.23,0.25,6,173,0.145134228
706,20,"10_1","1996-12-05",1996,12,1196,8.762222222,36.23,0.25,7,188,0.157190635
656,20,"11_1","1996-12-05",1996,12,1228,9.232777778,36.23,0.25,6,419,0.341205212
150,24,"17_1","1996-12-08",1996,12,1214,7.595277778,35.52,0.25,8,135,0.111202636
656,20,"20_1","1996-12-09",1996,12,1205,6.980138889,33.11,0.25,7,165,0.136929461
706,20,"21_1","1996-12-09",1996,12,1305,7.459027778,33.11,0.25,2,145,0.111111111
244,20,"22_1","1996-12-09",1996,12,1189,8.043333333,33.11,0.25,0,13,0.010933558
657,20,"23_1","1996-12-09",1996,12,1220,8.530138889,33.11,0.25,9,242,0.198360656
656,20,"24_1","1996-12-09",1996,12,1224,9.114305556,33.11,0.25,3,84,0.068627451
150,24,"29_1","1996-12-13",1996,12,1225,8.515416667,36.54,0.25,13,332,0.271020408
245,24,"35_1","1996-12-14",1996,12,1193,8.391805556,36.14,0.25,13,235,0.196982397
150,24,"43_1","1996-12-15",1996,12,1238,8.265277778,37.99,0.25,8,485,0.391760905
244,20,"48_1","1996-12-16",1996,12,1214,7.785277778,37.73,0.275,1,619,0.509884679
657,20,"50_1","1996-12-16",1996,12,1219,8.808472222,37.73,0.275,6,783,0.642329779
656,20,"51_1","1996-12-16",1996,12,1181,9.239027778,37.73,0.275,4,803,0.679932261
656,20,"57_1","1996-12-17",1996,12,1173,6.633333333,34.3,0.275,3,374,0.31884058
706,20,"58_1","1996-12-17",1996,12,1232,7.005833333,34.3,0.275,7,711,0.57711039
244,20,"59_1","1996-12-17",1996,12,1246,7.460277778,34.3,0.275,8,347,0.278491172
656,20,"60_1","1996-12-17",1996,12,1151,8.290138889,34.3,0.275,4,906,0.787141616
706,20,"61_1","1996-12-17",1996,12,1244,8.675277778,34.3,0.275,5,689,0.553858521
150,24,"64_1","1996-12-18",1996,12,1191,8.317916667,25.83,0.275,0,391,0.32829555
245,24,"66_1","1996-12-18",1996,12,1231,9.322777778,25.83,0.275,0,182,0.147847279
706,20,"69_1","1996-12-18",1996,12,1183,8.510833333,25.83,0.275,4,669,0.565511412
656,20,"70_1","1996-12-18",1996,12,1207,8.978055556,25.83,0.275,4,379,0.314001657
656,20,"77_1","1996-12-20",1996,12,1374,8.260277778,35.94,0.275,0,680,0.494905386
706,20,"78_1","1996-12-20",1996,12,1250,8.648888889,35.94,0.275,0,879,0.7032
244,20,"79_1","1996-12-20",1996,12,1196,9.114861111,35.94,0.275,0,359,0.300167224
150,24,"83_1","1996-12-20",1996,12,1194,7.13875,35.94,0.275,0,553,0.463149079
245,24,"85_1","1996-12-20",1996,12,1089,8.265833333,35.94,0.275,0,162,0.148760331
706,20,"89_1","1996-12-21",1996,12,1190,7.084166667,35.36,0.275,6,824,0.692436975
656,20,"90_1","1996-12-21",1996,12,1195,7.467361111,35.36,0.275,4,512,0.428451883
244,20,"91_1","1996-12-21",1996,12,1223,7.840138889,35.36,0.275,5,352,0.287816844
245,24,"93_1","1996-12-21",1996,12,1115,7.715,35.36,0.275,5,531,0.476233184
