"GroupRef","Date","GroupSize","GroupSize_ExcPups","GroupName"
7,1998-01-01,14,13.375,"DrieDoring"
8,1998-01-01,8.83333333333333,8.83333333333333,"Elveera"
9,1998-01-01,6,6,"Frisky"
18,1998-01-01,20.92,17.88,"Lazuli"
35,1998-01-01,13.8666666666667,13.8666666666667,"Vivian"
39,1998-01-01,5.3125,5.3125,"X-iles"
40,1998-01-01,17.92,17.92,"YoungOnes"
7,1998-02-01,17.8888888888889,13,"DrieDoring"
8,1998-02-01,8.84615384615385,8.84615384615385,"Elveera"
9,1998-02-01,6,6,"Frisky"
18,1998-02-01,20.1764705882353,20.1764705882353,"Lazuli"
23,1998-02-01,13,13,"Phantom"
35,1998-02-01,14.28,13.96,"Vivian"
39,1998-02-01,5.33333333333333,5.33333333333333,"X-iles"
40,1998-02-01,19.8571428571429,18,"YoungOnes"
7,1998-03-01,16.5,12.5,"DrieDoring"
8,1998-03-01,8.8695652173913,8.8695652173913,"Elveera"
9,1998-03-01,6,6,"Frisky"
18,1998-03-01,20.3333333333333,19.3703703703704,"Lazuli"
23,1998-03-01,13.7083333333333,12.4166666666667,"Phantom"
35,1998-03-01,15.68,13.92,"Vivian"
39,1998-03-01,4.94117647058824,4.94117647058824,"X-iles"
40,1998-03-01,21.8333333333333,18.0555555555556,"YoungOnes"
7,1998-04-01,15,15,"DrieDoring"
8,1998-04-01,11.1428571428571,8.96428571428571,"Elveera"
9,1998-04-01,8.57142857142857,6.07142857142857,"Frisky"
18,1998-04-01,22,20,"Lazuli"
23,1998-04-01,15,12,"Phantom"
35,1998-04-01,17.5,13.875,"Vivian"
39,1998-04-01,4.33333333333333,4.33333333333333,"X-iles"
40,1998-04-01,21.1428571428571,21.1428571428571,"YoungOnes"
7,1998-05-01,14.8181818181818,14.8181818181818,"DrieDoring"
8,1998-05-01,9.9,8.9,"Elveera"
9,1998-05-01,10.9473684210526,6,"Frisky"
18,1998-05-01,19.3636363636364,19.3636363636364,"Lazuli"
35,1998-05-01,19.2608695652174,17,"Vivian"
36,1998-05-01,6.73333333333333,6.73333333333333,"Whiskers"
39,1998-05-01,4,4,"X-iles"
40,1998-05-01,16.3333333333333,16.3333333333333,"YoungOnes"
7,1998-06-01,14,14,"DrieDoring"
8,1998-06-01,9.09090909090909,9.09090909090909,"Elveera"
9,1998-06-01,10.9285714285714,10.9285714285714,"Frisky"
18,1998-06-01,18.2142857142857,18.2142857142857,"Lazuli"
35,1998-06-01,18.0555555555556,17,"Vivian"
36,1998-06-01,7,7,"Whiskers"
39,1998-06-01,4.77777777777778,4.77777777777778,"X-iles"
40,1998-06-01,18.3076923076923,18.3076923076923,"YoungOnes"
7,1998-07-01,14,14,"DrieDoring"
8,1998-07-01,9.0625,9.0625,"Elveera"
9,1998-07-01,11,11,"Frisky"
18,1998-07-01,18,18,"Lazuli"
35,1998-07-01,18,18,"Vivian"
36,1998-07-01,7,7,"Whiskers"
39,1998-07-01,4.57142857142857,4.57142857142857,"X-iles"
40,1998-07-01,17.9285714285714,17.9285714285714,"YoungOnes"
7,1998-08-01,14,14,"DrieDoring"
8,1998-08-01,9,9,"Elveera"
9,1998-08-01,10.9444444444444,10.9444444444444,"Frisky"
18,1998-08-01,17.95,17.95,"Lazuli"
35,1998-08-01,17.9285714285714,17.9285714285714,"Vivian"
36,1998-08-01,6.96428571428571,6.96428571428571,"Whiskers"
39,1998-08-01,5,5,"X-iles"
40,1998-08-01,16.9677419354839,16.6774193548387,"YoungOnes"
7,1998-09-01,12.9166666666667,12.9166666666667,"DrieDoring"
8,1998-09-01,7.68421052631579,7.68421052631579,"Elveera"
9,1998-09-01,10.4545454545455,10.4545454545455,"Frisky"
18,1998-09-01,12.5384615384615,12.5384615384615,"Lazuli"
35,1998-09-01,16.5,16.5,"Vivian"
36,1998-09-01,9.33333333333333,7,"Whiskers"
39,1998-09-01,2,2,"X-iles"
40,1998-09-01,18.9545454545455,15.9545454545455,"YoungOnes"
7,1998-10-01,10.0952380952381,10.0952380952381,"DrieDoring"
8,1998-10-01,8.82142857142857,6.14285714285714,"Elveera"
9,1998-10-01,9.93333333333333,9.93333333333333,"Frisky"
18,1998-10-01,11.75,11.75,"Lazuli"
35,1998-10-01,15.05,13.85,"Vivian"
36,1998-10-01,10.9375,7,"Whiskers"
39,1998-10-01,5.33333333333333,5.33333333333333,"X-iles"
40,1998-10-01,16.5263157894737,16.5263157894737,"YoungOnes"
7,1998-11-01,15.9583333333333,11.9583333333333,"DrieDoring"
8,1998-11-01,7.91304347826087,4.91304347826087,"Elveera"
9,1998-11-01,8.375,8.375,"Frisky"
18,1998-11-01,14.5185185185185,11.1481481481481,"Lazuli"
28,1998-11-01,7.45454545454546,7.45454545454546,"Rascals"
35,1998-11-01,10.8888888888889,8.88888888888889,"Vivian"
36,1998-11-01,9.11764705882353,9.11764705882353,"Whiskers"
39,1998-11-01,6.41666666666667,5.83333333333333,"X-iles"
40,1998-11-01,21.1379310344828,18.551724137931,"YoungOnes"
7,1998-12-01,15.7619047619048,11.7619047619048,"DrieDoring"
8,1998-12-01,7.77777777777778,7.77777777777778,"Elveera"
9,1998-12-01,6.08333333333333,6.08333333333333,"Frisky"
18,1998-12-01,15.1875,10.1875,"Lazuli"
28,1998-12-01,9,9,"Rascals"
35,1998-12-01,11.9473684210526,11.7894736842105,"Vivian"
36,1998-12-01,9.89285714285714,8.89285714285714,"Whiskers"
39,1998-12-01,8.90476190476191,5.90476190476191,"X-iles"
40,1998-12-01,22.6071428571429,18.6071428571429,"YoungOnes"
7,1999-01-01,14.7727272727273,14.7727272727273,"DrieDoring"
8,1999-01-01,8.22222222222222,7.94444444444444,"Elveera"
9,1999-01-01,9.3,9.3,"Frisky"
18,1999-01-01,16.16,14.96,"Lazuli"
28,1999-01-01,8.5,8.5,"Rascals"
35,1999-01-01,13.9230769230769,11.0384615384615,"Vivian"
36,1999-01-01,12.8076923076923,8.84615384615385,"Whiskers"
39,1999-01-01,8.9375,5.9375,"X-iles"
40,1999-01-01,21.9655172413793,21.6896551724138,"YoungOnes"
7,1999-02-01,18.12,13.84,"DrieDoring"
8,1999-02-01,7.45,7.45,"Elveera"
9,1999-02-01,12.9,9.3,"Frisky"
18,1999-02-01,20.7777777777778,15,"Lazuli"
28,1999-02-01,9.8,8.2,"Rascals"
35,1999-02-01,11.3333333333333,8.33333333333333,"Vivian"
36,1999-02-01,13,13,"Whiskers"
39,1999-02-01,12.1428571428571,8.82142857142857,"X-iles"
40,1999-02-01,26.6,19.32,"YoungOnes"
7,1999-03-01,19,14,"DrieDoring"
8,1999-03-01,9.68965517241379,8,"Elveera"
9,1999-03-01,17.7777777777778,17.7777777777778,"Frisky"
18,1999-03-01,20.7391304347826,14.9565217391304,"Lazuli"
20,1999-03-01,6.81818181818182,6.81818181818182,"Nemesis"
28,1999-03-01,12.6363636363636,9,"Rascals"
35,1999-03-01,12.6363636363636,11,"Vivian"
36,1999-03-01,13,13,"Whiskers"
39,1999-03-01,13,9,"X-iles"
40,1999-03-01,26.8571428571429,19,"YoungOnes"
7,1999-04-01,17.9166666666667,17.9166666666667,"DrieDoring"
8,1999-04-01,10.6153846153846,7.76923076923077,"Elveera"
9,1999-04-01,16.7777777777778,16.7777777777778,"Frisky"
18,1999-04-01,19.1904761904762,19.1904761904762,"Lazuli"
20,1999-04-01,6.375,6.375,"Nemesis"
28,1999-04-01,10.75,10.75,"Rascals"
35,1999-04-01,14.9310344827586,10.9310344827586,"Vivian"
36,1999-04-01,12.962962962963,12.962962962963,"Whiskers"
39,1999-04-01,11,11,"X-iles"
40,1999-04-01,24.7,24.7,"YoungOnes"
7,1999-05-01,18,18,"DrieDoring"
8,1999-05-01,11,11,"Elveera"
9,1999-05-01,17,17,"Frisky"
18,1999-05-01,19,19,"Lazuli"
20,1999-05-01,5.93333333333333,5.93333333333333,"Nemesis"
28,1999-05-01,9.91666666666667,9.91666666666667,"Rascals"
35,1999-05-01,15,15,"Vivian"
36,1999-05-01,13,13,"Whiskers"
39,1999-05-01,9.95,9.95,"X-iles"
40,1999-05-01,23.8666666666667,22.9333333333333,"YoungOnes"
7,1999-06-01,17.7368421052632,17.7368421052632,"DrieDoring"
8,1999-06-01,10.9047619047619,10.9047619047619,"Elveera"
9,1999-06-01,13.6363636363636,13.6363636363636,"Frisky"
18,1999-06-01,18.5,18.5,"Lazuli"
20,1999-06-01,5.9375,5.9375,"Nemesis"
28,1999-06-01,9.54545454545454,9.54545454545454,"Rascals"
35,1999-06-01,15,15,"Vivian"
36,1999-06-01,12.8947368421053,12.8947368421053,"Whiskers"
39,1999-06-01,9.61111111111111,9.61111111111111,"X-iles"
40,1999-06-01,26.4074074074074,22.5555555555556,"YoungOnes"
