"FemaleID","ReprodRef","BirthDate","Year","Month","Age","Cond7Day","TB","Dominant","LitterSuccess"
147,1,"20/10/1993",1997,1,1183,NA,"N","Y",1
463,2,"31/10/1995",1997,1,456,NA,"N","N",0
150,3,"24/01/1994",1997,2,1129,NA,"N","Y",1
657,4,"05/11/1995",1997,3,490,NA,"N","N",1
586,5,"07/09/1995",1997,3,549,NA,"N","N",1
207,6,"15/11/1993",1997,3,1211,NA,"N","Y",1
463,7,"31/10/1995",1997,4,543,NA,"N","N",0
464,8,"31/10/1995",1997,4,545,NA,"N","N",1
466,9,"10/03/1996",1997,4,415,NA,"N","N",1
147,10,"20/10/1993",1997,7,1361,NA,"N","Y",1
150,11,"24/01/1994",1997,8,1299,NA,"N","Y",1
280,12,"04/03/1996",1997,8,539,NA,"N","N",0
207,13,"15/11/1993",1997,8,1383,NA,"N","Y",1
279,14,"04/03/1996",1997,9,546,NA,"N","N",1
149,15,"24/01/1994",1997,10,1369,NA,"N","Y",1
279,16,"04/03/1996",1997,10,604,NA,"N","Y",0
465,17,"10/03/1996",1997,10,600,NA,"N","N",0
150,18,"24/01/1994",1997,11,1377,NA,"N","Y",1
6,19,"02/01/1996",1997,11,696,NA,"N","N",0
147,20,"20/10/1993",1997,11,1500,NA,"N","Y",1
149,21,"24/01/1994",1997,12,1417,NA,"N","Y",0
586,22,"07/09/1995",1997,12,837,NA,"N","N",0
207,23,"15/11/1993",1998,1,1518,NA,"N","Y",1
150,24,"24/01/1994",1998,1,1458,NA,"N","Y",1
9,25,"11/12/1996",1998,1,411,74.15949143,"N","N",0
466,26,"10/03/1996",1998,2,697,82.65316234,"N","N",0
281,27,"21/11/1996",1998,2,441,NA,"N","N",0
5,28,"02/01/1996",1998,2,768,71.6874174,"N","N",0
147,29,"20/10/1993",1998,2,1583,-62.86091904,"N","Y",1
465,30,"10/03/1996",1998,2,712,23.15506699,"N","Y",0
586,31,"07/09/1995",1998,2,901,NA,"N","N",1
149,32,"24/01/1994",1998,3,1502,2.35936044,"N","Y",0
280,33,"04/03/1996",1998,3,742,35.83065692,"N","Y",1
467,34,"15/01/1997",1998,3,429,NA,"N","N",0
6,35,"02/01/1996",1998,3,810,NA,"N","N",0
7,36,"02/01/1996",1998,3,811,NA,"N","N",1
660,37,"02/03/1997",1998,3,387,25.45056565,"N","N",0
661,38,"02/03/1997",1998,4,402,44.39232939,"N","N",1
658,39,"02/03/1997",1998,5,443,NA,"N","N",0
465,40,"10/03/1996",1998,6,830,51.67157464,"N","Y",0
150,41,"24/01/1994",1998,7,1649,NA,"N","Y",1
9,42,"11/12/1996",1998,8,614,1.9126113,"N","N",1
10,43,"11/12/1996",1998,9,633,16.42841562,"N","N",0
280,44,"04/03/1996",1998,9,925,NA,"N","Y",1
11,45,"11/12/1996",1998,9,643,57.62288181,"N","N",0
466,46,"10/03/1996",1998,9,927,NA,"N","N",0
149,47,"24/01/1994",1998,9,1703,NA,"N","Y",0
207,48,"15/11/1993",1998,10,1789,NA,"N","Y",1
147,49,"20/10/1993",1998,10,1823,-11.08045062,"N","Y",1
150,50,"24/01/1994",1998,10,1730,9.659926069,"N","Y",1
465,51,"10/03/1996",1998,11,969,240.6377377,"N","N",1
657,52,"05/11/1995",1998,11,1097,NA,"N","N",0
9,53,"11/12/1996",1998,11,706,21.27447452,"N","N",0
10,54,"11/12/1996",1998,11,715,77.76633012,"N","Y",0
12,55,"26/02/1997",1998,11,640,NA,"N","N",1
280,56,"04/03/1996",1998,12,1003,NA,"N","Y",0
281,57,"21/11/1996",1998,12,756,NA,"N","N",0
6,58,"02/01/1996",1998,12,1081,131.3710177,"N","N",0
7,59,"02/01/1996",1998,12,1086,NA,"N","Y",1
207,60,"15/11/1993",1998,12,1867,58.74330287,"N","Y",0
5,61,"02/01/1996",1998,12,1091,NA,"N","N",0
466,62,"10/03/1996",1998,12,1023,45.22146927,"N","N",0
663,63,"23/08/1997",1998,12,492,1.173070003,"N","N",0
13,64,"26/02/1997",1999,1,674,56.05999566,"N","N",0
150,65,"24/01/1994",1999,1,1805,NA,"N","Y",1
147,66,"20/10/1993",1999,1,1902,50.24731791,"N","Y",1
149,67,"24/01/1994",1999,1,1812,NA,"N","N",0
660,68,"02/03/1997",1999,1,684,NA,"N","N",0
662,69,"02/03/1997",1999,1,687,91.57001956,"N","N",0
14,70,"26/02/1997",1999,1,693,47.82320067,"N","N",1
15,71,"01/11/1997",1999,1,446,80.11785821,"N","N",1
465,72,"10/03/1996",1999,1,1047,3.838631545,"N","N",1
661,73,"02/03/1997",1999,1,691,6.28436167,"N","N",0
658,74,"02/03/1997",1999,1,692,53.79032851,"N","Y",1
657,75,"05/11/1995",1999,1,1181,NA,"N","N",0
10,76,"11/12/1996",1999,2,798,-57.95113397,"N","Y",0
280,77,"04/03/1996",1999,2,1083,42.59626554,"N","Y",1
9,78,"11/12/1996",1999,3,817,80.38801345,"N","N",0
7,79,"02/01/1996",1999,3,1163,165.2662281,"N","Y",0
359,80,"24/10/1997",1999,3,502,NA,"N","N",0
12,81,"26/02/1997",1999,3,743,111.2312796,"N","N",0
207,82,"15/11/1993",1999,3,1945,NA,"N","Y",0
663,83,"23/08/1997",1999,3,569,NA,"N","N",0
6,84,"02/01/1996",1999,3,1175,NA,"N","N",0
466,85,"10/03/1996",1999,3,1110,13.64806692,"N","N",0
5,86,"02/01/1996",1999,4,1196,12.37415712,"N","N",0
17,87,"01/11/1997",1999,4,541,NA,"N","N",0
18,88,"21/01/1998",1999,4,463,22.54608521,"N","N",1
10,89,"11/12/1996",1999,7,945,26.78818642,"N","Y",1
7,90,"02/01/1996",1999,7,1297,NA,"N","Y",1
280,91,"04/03/1996",1999,8,1246,29.63051597,"N","Y",1
658,92,"02/03/1997",1999,8,883,93.15564692,"N","Y",0
661,93,"02/03/1997",1999,8,885,91.96092499,"N","N",1
664,94,"03/02/1998",1999,8,549,13.35681806,"N","N",0
657,95,"05/11/1995",1999,8,1375,115.0150632,"N","N",0
147,96,"20/10/1993",1999,8,2123,39.90543285,"N","Y",1
465,97,"10/03/1996",1999,8,1252,48.86835823,"N","N",1
207,98,"15/11/1993",1999,8,2099,138.7212757,"N","Y",1
150,99,"24/01/1994",1999,8,2032,93.25460786,"N","Y",1
18,100,"21/01/1998",1999,8,577,-32.97230184,"N","N",1
660,101,"02/03/1997",1999,8,911,134.0300032,"N","N",1
13,102,"26/02/1997",1999,9,922,NA,"N","N",0
149,103,"24/01/1994",1999,9,2073,NA,"N","Y",1
10,104,"11/12/1996",1999,10,1026,41.6608297,"N","Y",1
658,105,"02/03/1997",1999,10,948,99.86706616,"N","Y",0
7,106,"02/01/1996",1999,10,1374,47.91810245,"N","Y",1
280,107,"04/03/1996",1999,10,1322,27.68098311,"N","Y",0
661,108,"02/03/1997",1999,10,969,6.33454962,"N","Y",0
466,109,"10/03/1996",1999,10,1326,NA,"Y","N",0
5,110,"02/01/1996",1999,10,1396,56.33558675,"N","N",0
147,111,"20/10/1993",1999,11,2204,-6.762227924,"N","Y",1
465,112,"10/03/1996",1999,11,1333,NA,"N","N",1
207,113,"15/11/1993",1999,11,2182,7.218947518,"N","Y",1
15,114,"01/11/1997",1999,11,739,51.0160566,"N","N",0
659,115,"02/03/1997",1999,11,983,NA,"N","N",0
150,116,"24/01/1994",1999,11,2117,68.13480706,"N","Y",1
14,117,"26/02/1997",1999,11,997,NA,"N","N",1
10,118,"11/12/1996",1999,12,1105,52.39123868,"N","Y",1
473,119,"12/07/1997",1999,12,892,NA,"N","N",0
17,120,"01/11/1997",1999,12,780,NA,"N","N",0
7,121,"02/01/1996",1999,12,1456,38.2324709,"N","Y",1
149,122,"24/01/1994",1999,12,2165,NA,"N","Y",1
13,123,"26/02/1997",2000,1,1041,NA,"Y","N",1
280,124,"04/03/1996",2000,1,1400,NA,"N","Y",1
5,125,"02/01/1996",2000,1,1463,NA,"N","N",0
284,126,"15/09/1998",2000,1,477,NA,"N","N",0
755,127,"17/08/1998",2000,1,509,NA,"N","N",0
660,128,"02/03/1997",2000,1,1045,136.6685071,"N","Y",0
285,129,"15/09/1998",2000,1,487,NA,"N","N",1
758,130,"28/11/1998",2000,1,413,43.84621744,"N","N",0
19,131,"31/07/1998",2000,1,537,61.31003276,"N","N",0
147,132,"20/10/1993",2000,1,2284,-8.096137892,"N","Y",1
207,133,"15/11/1993",2000,1,2260,55.71727843,"N","Y",1
591,134,"23/01/1999",2000,1,368,NA,"N","N",1
15,135,"01/11/1997",2000,2,826,NA,"N","N",0
18,136,"21/01/1998",2000,2,755,47.99982325,"N","N",0
757,137,"28/11/1998",2000,2,446,10.05614513,"N","N",0
24,138,"21/01/1999",2000,2,401,48.05278089,"N","N",0
21,139,"20/10/1998",2000,2,496,112.7154849,"N","N",1
280,140,"04/03/1996",2000,3,1462,50.53055326,"N","Y",0
22,141,"03/01/1999",2000,3,428,NA,"N","N",1
149,142,"24/01/1994",2000,3,2234,NA,"N","Y",0
7,143,"02/01/1996",2000,3,1532,NA,"N","Y",1
10,144,"11/12/1996",2000,3,1190,17.60756063,"N","Y",1
13,145,"26/02/1997",2000,3,1116,95.64941766,"Y","Y",0
147,146,"20/10/1993",2000,3,2343,47.23678023,"N","Y",0
660,147,"02/03/1997",2000,3,1115,86.33708621,"N","Y",1
665,148,"21/09/1998",2000,4,566,23.84188719,"N","N",1
207,149,"15/11/1993",2000,4,2340,79.71568968,"N","Y",1
218,150,"19/01/1999",2000,4,449,47.40220883,"N","N",0
14,151,"26/02/1997",2000,4,1146,-4.376982797,"N","N",1
13,152,"26/02/1997",2000,7,1226,NA,"Y","Y",1
17,153,"01/11/1997",2000,7,987,107.3755699,"N","N",0
150,154,"24/01/1994",2000,7,2371,95.55751393,"N","Y",1
147,155,"20/10/1993",2000,7,2469,145.9030767,"N","Y",1
18,156,"21/01/1998",2000,8,933,NA,"N","N",0
665,157,"21/09/1998",2000,8,698,97.75419019,"N","Y",1
280,158,"04/03/1996",2000,8,1631,83.56045151,"N","Y",1
660,159,"02/03/1997",2000,8,1268,73.64734927,"N","Y",1
666,160,"09/12/1998",2000,8,621,117.3680899,"N","N",1
7,161,"02/01/1996",2000,9,1708,92.83046509,"N","Y",1
207,162,"15/11/1993",2000,9,2486,121.7144146,"N","Y",1
10,163,"11/12/1996",2000,9,1367,28.86779819,"N","Y",1
667,164,"28/07/1999",2000,9,409,33.85935624,"N","N",0
364,165,"22/07/1999",2000,9,421,NA,"N","N",0
757,166,"28/11/1998",2000,9,658,77.73285979,"N","N",0
285,167,"15/09/1998",2000,9,737,7.68598075,"N","N",0
13,168,"26/02/1997",2000,9,1304,121.2641937,"Y","Y",1
758,169,"28/11/1998",2000,9,670,74.17844024,"N","N",1
150,170,"24/01/1994",2000,10,2449,81.86565613,"N","Y",1
25,171,"29/04/1999",2000,10,529,NA,"N","N",0
147,172,"20/10/1993",2000,10,2550,147.5696083,"N","Y",1
280,173,"04/03/1996",2000,10,1689,25.1801565,"N","Y",0
17,174,"01/11/1997",2000,10,1094,NA,"N","N",0
660,175,"02/03/1997",2000,11,1347,29.37444897,"N","Y",1
665,176,"21/09/1998",2000,11,780,56.75415374,"N","Y",1
207,177,"15/11/1993",2000,11,2552,NA,"N","Y",0
7,178,"02/01/1996",2000,11,1790,107.8724086,"N","Y",1
365,179,"07/10/1999",2000,12,434,-15.51567436,"N","N",0
755,180,"17/08/1998",2000,12,854,69.74157542,"N","Y",0
220,181,"06/11/1999",2000,12,412,NA,"N","N",0
219,182,"15/08/1999",2000,12,497,5.619839406,"N","N",0
759,183,"14/07/1999",2000,12,529,NA,"N","N",0
363,184,"22/07/1999",2000,12,523,-4.686956735,"N","N",0
760,185,"14/07/1999",2000,12,531,14.68545571,"N","N",0
150,186,"24/01/1994",2000,12,2530,55.25927841,"N","Y",0
221,187,"06/11/1999",2000,12,418,-11.11973763,"N","N",0
147,188,"20/10/1993",2000,12,2626,-89.5971247,"N","Y",0
285,189,"15/09/1998",2001,1,844,25.12116434,"N","N",0
23,190,"21/01/1999",2001,1,718,NA,"N","N",0
280,191,"04/03/1996",2001,1,1771,-19.15430212,"N","Y",1
17,192,"01/11/1997",2001,1,1166,-29.73407904,"N","N",0
591,193,"23/01/1999",2001,1,723,86.65340517,"N","N",0
758,194,"28/11/1998",2001,1,783,-43.55153496,"N","N",1
281,195,"21/11/1996",2001,1,1521,65.73779925,"N","N",0
366,196,"07/10/1999",2001,1,472,33.59044752,"N","N",0
13,197,"26/02/1997",2001,1,1434,NA,"Y","Y",1
207,198,"15/11/1993",2001,1,2634,16.71390272,"N","Y",1
660,199,"02/03/1997",2001,1,1431,-4.896724681,"N","Y",1
665,200,"21/09/1998",2001,2,879,-14.81846973,"N","Y",1
22,201,"03/01/1999",2001,2,781,15.14605236,"N","N",0
7,202,"02/01/1996",2001,2,1881,-15.95623316,"N","Y",1
17,203,"01/11/1997",2001,2,1214,-25.27650134,"N","N",0
363,204,"22/07/1999",2001,3,588,-16.76346877,"N","N",0
592,205,"30/08/1999",2001,3,558,43.24707688,"N","N",0
755,206,"17/08/1998",2001,3,936,37.69051087,"N","Y",0
367,207,"28/12/1999",2001,3,439,35.73450816,"N","N",0
666,208,"09/12/1998",2001,3,825,11.09318395,"N","N",0
364,209,"22/07/1999",2001,3,602,10.2405873,"N","N",0
368,210,"28/12/1999",2001,3,447,51.6022386,"N","N",0
150,211,"24/01/1994",2001,3,2614,-30.73662142,"N","Y",1
365,212,"07/10/1999",2001,3,533,-27.75628812,"N","N",0
369,213,"28/12/1999",2001,4,460,NA,"N","N",0
25,214,"29/04/1999",2001,4,705,39.76676401,"N","N",0
281,215,"21/11/1996",2001,5,1625,NA,"N","N",1
7,216,"02/01/1996",2001,5,1950,-66.71913487,"N","Y",0
286,217,"20/02/1999",2001,5,806,4.500602726,"N","N",0
207,218,"15/11/1993",2001,6,2769,NA,"N","Y",0
758,219,"28/11/1998",2001,6,938,NA,"N","N",0
660,220,"02/03/1997",2001,7,1594,61.47693142,"N","Y",1
17,221,"01/11/1997",2001,7,1359,NA,"N","N",0
665,222,"21/09/1998",2001,7,1039,14.37132384,"N","Y",1
281,223,"21/11/1996",2001,7,1709,64.42503302,"N","Y",1
755,224,"17/08/1998",2001,8,1083,56.46025205,"N","Y",0
13,225,"26/02/1997",2001,8,1624,NA,"Y","Y",1
7,226,"02/01/1996",2001,8,2049,NA,"N","Y",1
365,227,"07/10/1999",2001,8,678,42.04446034,"N","N",0
364,228,"22/07/1999",2001,8,756,54.55671488,"N","N",0
207,229,"15/11/1993",2001,8,2835,45.71357222,"N","Y",0
150,230,"24/01/1994",2001,9,2780,40.96315254,"N","Y",0
486,231,"02/11/1999",2001,9,680,39.80713203,"N","N",0
757,232,"28/11/1998",2001,9,1019,NA,"N","N",0
482,233,"13/08/1999",2001,9,766,60.31008451,"N","Y",0
491,234,"24/07/2000",2001,9,420,12.89316157,"N","N",0
488,235,"21/01/2000",2001,9,606,13.80743663,"N","N",0
25,236,"29/04/1999",2001,9,874,NA,"N","N",1
489,237,"21/01/2000",2001,10,626,24.71571197,"N","N",0
490,238,"21/01/2000",2001,10,626,19.0187617,"N","N",0
487,239,"21/01/2000",2001,10,627,26.87568317,"N","N",0
660,240,"02/03/1997",2001,10,1682,0.100643932,"N","Y",1
484,241,"02/11/1999",2001,10,712,31.28773822,"N","N",0
665,242,"21/09/1998",2001,10,1122,NA,"N","Y",1
281,243,"21/11/1996",2001,10,1792,57.91728214,"N","Y",1
364,244,"22/07/1999",2001,10,821,56.17570182,"N","N",0
220,245,"06/11/1999",2001,10,718,58.88054623,"N","N",0
223,246,"12/04/2000",2001,10,560,NA,"N","N",0
762,247,"21/12/1999",2001,10,675,71.6694714,"N","N",0
13,248,"26/02/1997",2001,11,1709,NA,"Y","Y",1
7,249,"02/01/1996",2001,11,2132,72.47554723,"N","Y",1
494,250,"13/10/2000",2001,11,387,70.63093842,"N","N",0
759,251,"14/07/1999",2001,11,844,NA,"N","Y",1
493,252,"13/10/2000",2001,11,392,185.0340083,"N","N",0
207,253,"15/11/1993",2001,11,2917,125.2135244,"N","Y",1
285,254,"15/09/1998",2001,11,1152,NA,"N","N",1
492,255,"24/07/2000",2001,11,480,125.3643804,"N","N",1
763,256,"15/03/2000",2001,11,614,42.12746484,"N","N",0
762,257,"21/12/1999",2001,11,701,199.9022849,"N","Y",1
760,258,"14/07/1999",2001,11,862,45.88204881,"N","Y",1
