date,mean_ndvi,year
12/07/2002,0.197950901,2002
28/07/2002,0.192532924,2002
13/08/2002,0.185833853,2002
29/08/2002,0.18077112,2002
14/09/2002,0.174039554,2002
30/09/2002,0.1755562,2002
16/10/2002,0.170144668,2002
01/11/2002,0.163363559,2002
17/11/2002,0.160298658,2002
03/12/2002,0.160555707,2002
19/12/2002,0.191831321,2002
01/01/2003,0.183816637,2003
17/01/2003,0.178783421,2003
02/02/2003,0.19288891,2003
18/02/2003,0.216590718,2003
06/03/2003,0.196428448,2003
22/03/2003,0.18750469,2003
07/04/2003,0.187435816,2003
23/04/2003,0.193782879,2003
09/05/2003,0.20285944,2003
25/05/2003,0.185882377,2003
10/06/2003,0.185315859,2003
26/06/2003,0.179382798,2003
12/07/2003,0.173279689,2003
28/07/2003,0.168956385,2003
13/08/2003,0.164781496,2003
29/08/2003,0.165532237,2003
14/09/2003,0.157585139,2003
30/09/2003,0.161934136,2003
16/10/2003,0.153229204,2003
01/11/2003,0.150139104,2003
17/11/2003,0.17251983,2003
03/12/2003,0.17635659,2003
19/12/2003,0.164841431,2003
01/01/2004,0.177396777,2004
17/01/2004,0.239403453,2004
02/02/2004,0.190636555,2004
18/02/2004,0.186340131,2004
05/03/2004,0.179194124,2004
21/03/2004,0.183415119,2004
06/04/2004,0.200025926,2004
22/04/2004,0.209146901,2004
08/05/2004,0.20019043,2004
24/05/2004,0.197258587,2004
09/06/2004,0.192314061,2004
25/06/2004,0.194448863,2004
11/07/2004,0.182604324,2004
27/07/2004,0.179859223,2004
12/08/2004,0.17624502,2004
28/08/2004,0.169604154,2004
13/09/2004,0.166888432,2004
29/09/2004,0.158592463,2004
15/10/2004,0.161126097,2004
31/10/2004,0.189866519,2004
16/11/2004,0.188542332,2004
02/12/2004,0.200574325,2004
18/12/2004,0.184449893,2004
01/01/2005,0.17678539,2005
17/01/2005,0.226900747,2005
02/02/2005,0.204818499,2005
18/02/2005,0.202146831,2005
06/03/2005,0.20484221,2005
22/03/2005,0.232638839,2005
07/04/2005,0.246132293,2005
23/04/2005,0.233486434,2005
09/05/2005,0.220777617,2005
25/05/2005,0.21125552,2005
10/06/2005,0.206164859,2005
26/06/2005,0.19452539,2005
12/07/2005,0.187285019,2005
28/07/2005,0.184442822,2005
13/08/2005,0.17596668,2005
29/08/2005,0.173846261,2005
14/09/2005,0.172329023,2005
30/09/2005,0.171396402,2005
