week,date,year,uniqueinds,weeklyresid,weeklyreldev,n_weeklyresid,MonthStart,GroupSize,GroupSize_ExcPups
1,07/01/1998,1998,26,-22.25073749,0.972145814,58,01/01/1998,12.4075,11.88392857
2,14/01/1998,1998,30,11.59169971,1.019928692,72,01/01/1998,12.4075,11.88392857
3,21/01/1998,1998,31,23.90859136,1.037914055,85,01/01/1998,12.4075,11.88392857
4,28/01/1998,1998,21,5.494515941,1.009736681,73,01/01/1998,12.4075,11.88392857
5,04/02/1998,1998,27,-18.5721087,0.974129106,63,01/02/1998,13.17274869,12.28949472
6,11/02/1998,1998,31,-36.32264532,0.947213548,86,01/02/1998,13.17274869,12.28949472
7,18/02/1998,1998,26,-44.28816222,0.936648998,73,01/02/1998,13.17274869,12.28949472
8,25/02/1998,1998,32,-17.65657369,0.976987438,94,01/02/1998,13.17274869,12.28949472
9,04/03/1998,1998,36,-22.08101789,0.969490861,94,01/03/1998,13.48321771,12.00916679
10,11/03/1998,1998,41,-28.58517603,0.958530017,147,01/03/1998,13.48321771,12.00916679
11,18/03/1998,1998,49,-43.71384124,0.933961968,122,01/03/1998,13.48321771,12.00916679
12,25/03/1998,1998,47,-46.76967395,0.929695785,141,01/03/1998,13.48321771,12.00916679
13,01/04/1998,1998,44,-27.36274566,0.959432432,112,01/04/1998,14.33630952,12.6733631
14,08/04/1998,1998,29,-18.58270491,0.974910392,79,01/04/1998,14.33630952,12.6733631
15,15/04/1998,1998,37,-5.314648644,0.994632025,121,01/04/1998,14.33630952,12.6733631
16,22/04/1998,1998,34,-7.215722963,0.991356055,107,01/04/1998,14.33630952,12.6733631
17,29/04/1998,1998,35,-4.391027395,0.995346497,132,01/04/1998,14.33630952,12.6733631
18,06/05/1998,1998,24,-1.070136057,1.000155855,78,01/05/1998,12.66959035,11.64356061
19,13/05/1998,1998,38,9.903023594,1.01766284,96,01/05/1998,12.66959035,11.64356061
