week,date,year,uniqueinds,weeklyresid,weeklyreldev,n_weeklyresid,date,MonthStart,GroupSize,GroupSize_ExcPups
1,07/01/1998,1998,4,-72.50075366,0.908999388,11,07/01/1998,01/01/1998,12.4075,11.88392857
2,14/01/1998,1998,4,-20.89789151,0.978251988,14,14/01/1998,01/01/1998,12.4075,11.88392857
3,21/01/1998,1998,4,21.4608848,1.033804407,11,21/01/1998,01/01/1998,12.4075,11.88392857
4,28/01/1998,1998,2,6.53501289,1.012603175,12,28/01/1998,01/01/1998,12.4075,11.88392857
5,04/02/1998,1998,3,-20.0973705,0.974975327,9,04/02/1998,01/02/1998,13.17274869,12.28949472
6,11/02/1998,1998,3,-63.6685385,0.91296187,8,11/02/1998,01/02/1998,13.17274869,12.28949472
7,18/02/1998,1998,3,-68.07660641,0.907849194,12,18/02/1998,01/02/1998,13.17274869,12.28949472
8,25/02/1998,1998,5,-35.95131694,0.952415749,21,25/02/1998,01/02/1998,13.17274869,12.28949472
9,04/03/1998,1998,5,-48.23821545,0.93640195,17,04/03/1998,01/03/1998,13.48321771,12.00916679
10,11/03/1998,1998,5,-52.21004306,0.931037214,19,11/03/1998,01/03/1998,13.48321771,12.00916679
11,18/03/1998,1998,6,-63.23953427,0.917664536,15,18/03/1998,01/03/1998,13.48321771,12.00916679
12,25/03/1998,1998,5,-68.25699873,0.911510463,15,25/03/1998,01/03/1998,13.48321771,12.00916679
13,01/04/1998,1998,6,-46.36254951,0.939305806,14,01/04/1998,01/04/1998,14.33630952,12.6733631
14,08/04/1998,1998,4,-39.21061742,0.947749192,15,08/04/1998,01/04/1998,14.33630952,12.6733631
15,15/04/1998,1998,6,-22.73519344,0.968693206,20,15/04/1998,01/04/1998,14.33630952,12.6733631
16,22/04/1998,1998,5,-16.72775845,0.975276895,18,22/04/1998,01/04/1998,14.33630952,12.6733631
17,29/04/1998,1998,5,-16.90269149,0.975658306,21,29/04/1998,01/04/1998,14.33630952,12.6733631
18,06/05/1998,1998,4,-1.535900089,0.997339646,14,06/05/1998,01/05/1998,12.66959035,11.64356061
19,13/05/1998,1998,6,6.295578152,1.010464812,15,13/05/1998,01/05/1998,12.66959035,11.64356061
20,20/05/1998,1998,6,5.216325378,1.009235771,17,20/05/1998,01/05/1998,12.66959035,11.64356061
21,27/05/1998,1998,6,-0.417908042,1.002039281,17,27/05/1998,01/05/1998,12.66959035,11.64356061
22,03/06/1998,1998,6,4.539256585,1.008310995,17,03/06/1998,01/06/1998,12.54684898,12.41490454
23,10/06/1998,1998,7,10.18608763,1.015988757,18,10/06/1998,01/06/1998,12.54684898,12.41490454
24,17/06/1998,1998,5,-11.98535594,0.985192933,13,17/06/1998,01/06/1998,12.54684898,12.41490454
25,24/06/1998,1998,6,-7.155699185,0.990097723,11,24/06/1998,01/06/1998,12.54684898,12.41490454
26,01/07/1998,1998,7,-9.683771057,0.987866787,15,01/07/1998,01/07/1998,12.4453125,12.4453125
27,08/07/1998,1998,1,-34.01682504,0.950341621,1,08/07/1998,01/07/1998,12.4453125,12.4453125
28,15/07/1998,1998,6,-4.615294712,0.99416364,13,15/07/1998,01/07/1998,12.4453125,12.4453125
29,22/07/1998,1998,6,-11.90159369,0.983938995,23,22/07/1998,01/07/1998,12.4453125,12.4453125
30,29/07/1998,1998,6,-18.84198825,0.97398086,20,29/07/1998,01/07/1998,12.4453125,12.4453125
31,05/08/1998,1998,6,-20.08572666,0.972244457,20,05/08/1998,01/08/1998,12.34438044,12.30809012
32,12/08/1998,1998,7,-9.553871346,0.987901516,23,12/08/1998,01/08/1998,12.34438044,12.30809012
33,19/08/1998,1998,5,-5.465504703,0.992732571,15,19/08/1998,01/08/1998,12.34438044,12.30809012
34,26/08/1998,1998,4,-11.38258527,0.984610299,7,26/08/1998,01/08/1998,12.34438044,12.30809012
35,02/09/1998,1998,6,18.91370831,1.026135844,14,02/09/1998,01/09/1998,11.29772037,10.63105371
36,09/09/1998,1998,4,8.892689695,1.012929011,7,09/09/1998,01/09/1998,11.29772037,10.63105371
37,16/09/1998,1998,3,2.033336618,1.002725073,6,16/09/1998,01/09/1998,11.29772037,10.63105371
38,23/09/1998,1998,5,25.72952483,1.036591375,12,23/09/1998,01/09/1998,11.29772037,10.63105371
39,30/09/1998,1998,4,39.26234003,1.052960689,12,30/09/1998,01/10/1998,11.05589364,10.07888471
40,07/10/1998,1998,2,22.60112677,1.031776586,8,07/10/1998,01/10/1998,11.05589364,10.07888471
41,14/10/1998,1998,2,27.45935078,1.038282623,2,14/10/1998,01/10/1998,11.05589364,10.07888471
42,21/10/1998,1998,3,64.43826142,1.085395649,3,21/10/1998,01/10/1998,11.05589364,10.07888471
43,28/10/1998,1998,3,62.48836088,1.078081203,10,28/10/1998,01/10/1998,11.05589364,10.07888471
44,04/11/1998,1998,4,83.05436402,1.106543985,10,04/11/1998,01/11/1998,11.30895271,9.582295981
45,11/11/1998,1998,4,93.43248124,1.119912955,10,11/11/1998,01/11/1998,11.30895271,9.582295981
46,18/11/1998,1998,3,20.94583909,1.0284196,12,18/11/1998,01/11/1998,11.30895271,9.582295981
47,25/11/1998,1998,3,-4.667394248,0.996074548,11,25/11/1998,01/11/1998,11.30895271,9.582295981
48,02/12/1998,1998,2,-5.035307842,0.992817244,4,02/12/1998,01/12/1998,11.90696069,10.00052794
49,09/12/1998,1998,1,-42.91066483,0.938891577,5,09/12/1998,01/12/1998,11.90696069,10.00052794
50,16/12/1998,1998,2,-1.506730944,0.997698874,6,16/12/1998,01/12/1998,11.90696069,10.00052794
51,23/12/1998,1998,2,-6.805040657,0.991538629,8,23/12/1998,01/12/1998,11.90696069,10.00052794
52,30/12/1998,1998,4,-2.421208959,0.994397979,9,30/12/1998,01/12/1998,11.90696069,10.00052794
1,07/01/1999,1999,5,15.85938772,1.019211649,12,07/01/1999,01/01/1999,12.73208177,11.44321581
2,14/01/1999,1999,4,64.46189325,1.087103688,6,14/01/1999,01/01/1999,12.73208177,11.44321581
3,21/01/1999,1999,4,63.68874884,1.082536918,9,21/01/1999,01/01/1999,12.73208177,11.44321581
4,28/01/1999,1999,3,77.17454779,1.106096284,7,28/01/1999,01/01/1999,12.73208177,11.44321581
5,04/02/1999,1999,2,23.45371378,1.032701036,5,04/02/1999,01/02/1999,14.68044092,11.47386243
6,11/02/1999,1999,4,11.9912591,1.014502711,9,11/02/1999,01/02/1999,14.68044092,11.47386243
7,18/02/1999,1999,3,4.601293749,1.003688959,7,18/02/1999,01/02/1999,14.68044092,11.47386243
8,25/02/1999,1999,5,-19.257361,0.97451044,10,25/02/1999,01/02/1999,14.68044092,11.47386243
9,04/03/1999,1999,6,-36.01071868,0.949496067,17,04/03/1999,01/03/1999,15.21546153,12.25524813
10,11/03/1999,1999,7,-67.49335802,0.907698545,21,11/03/1999,01/03/1999,15.21546153,12.25524813
11,18/03/1999,1999,7,-64.89298075,0.912269831,25,18/03/1999,01/03/1999,15.21546153,12.25524813
12,25/03/1999,1999,8,-59.23309464,0.919756472,24,25/03/1999,01/03/1999,15.21546153,12.25524813
13,01/04/1999,1999,3,-35.09033073,0.951362584,9,01/04/1999,01/04/1999,14.52193027,13.83731488
14,08/04/1999,1999,6,-44.27741014,0.93982295,21,08/04/1999,01/04/1999,14.52193027,13.83731488
15,15/04/1999,1999,8,-30.99646415,0.958465525,29,15/04/1999,01/04/1999,14.52193027,13.83731488
