week,date,year,uniqueinds,weeklyresid,weeklyreldev,n_weeklyresid,date,MonthStart,GroupSize,GroupSize_ExcPups
1,07/01/1998,1998,4,-47.09323789,0.939860691,10,07/01/1998,01/01/1998,12.4075,11.88392857
2,14/01/1998,1998,6,-0.753773461,1.000369958,15,14/01/1998,01/01/1998,12.4075,11.88392857
3,21/01/1998,1998,6,-3.025002385,0.99697594,17,21/01/1998,01/01/1998,12.4075,11.88392857
4,28/01/1998,1998,4,-12.97001671,0.982494799,12,28/01/1998,01/01/1998,12.4075,11.88392857
5,04/02/1998,1998,5,-42.09587962,0.944317162,10,04/02/1998,01/02/1998,13.17274869,12.28949472
6,11/02/1998,1998,5,-57.5071853,0.927361261,10,11/02/1998,01/02/1998,13.17274869,12.28949472
7,18/02/1998,1998,6,-48.40586833,0.933916529,12,18/02/1998,01/02/1998,13.17274869,12.28949472
8,25/02/1998,1998,4,-27.99379265,0.966475713,11,25/02/1998,01/02/1998,13.17274869,12.28949472
9,04/03/1998,1998,4,-21.98466654,0.968814871,11,04/03/1998,01/03/1998,13.48321771,12.00916679
10,11/03/1998,1998,2,-45.55259788,0.935743023,8,11/03/1998,01/03/1998,13.48321771,12.00916679
11,18/03/1998,1998,4,-70.26512408,0.906915216,9,18/03/1998,01/03/1998,13.48321771,12.00916679
12,25/03/1998,1998,4,-66.00797232,0.915051802,14,25/03/1998,01/03/1998,13.48321771,12.00916679
13,01/04/1998,1998,4,-24.54816137,0.967753995,11,01/04/1998,01/04/1998,14.33630952,12.6733631
14,08/04/1998,1998,3,-23.90765863,0.972608623,7,08/04/1998,01/04/1998,14.33630952,12.6733631
15,15/04/1998,1998,4,-13.24539735,0.983961229,12,15/04/1998,01/04/1998,14.33630952,12.6733631
16,22/04/1998,1998,4,-5.575000803,0.99327406,13,22/04/1998,01/04/1998,14.33630952,12.6733631
17,29/04/1998,1998,3,-1.964680415,0.997533622,12,29/04/1998,01/04/1998,14.33630952,12.6733631
18,06/05/1998,1998,2,5.665318533,1.007982622,8,06/05/1998,01/05/1998,12.66959035,11.64356061
19,13/05/1998,1998,4,-0.047421974,0.998872301,9,13/05/1998,01/05/1998,12.66959035,11.64356061
20,20/05/1998,1998,3,12.969078,1.018861691,10,20/05/1998,01/05/1998,12.66959035,11.64356061
21,27/05/1998,1998,6,-4.510971621,0.994081917,16,27/05/1998,01/05/1998,12.66959035,11.64356061
22,03/06/1998,1998,5,-12.26356372,0.984592672,15,03/06/1998,01/06/1998,12.54684898,12.41490454
23,10/06/1998,1998,5,-6.795107346,0.990848858,16,10/06/1998,01/06/1998,12.54684898,12.41490454
24,17/06/1998,1998,6,-5.938218794,0.993146449,13,17/06/1998,01/06/1998,12.54684898,12.41490454
25,24/06/1998,1998,6,-19.84105658,0.972664634,12,24/06/1998,01/06/1998,12.54684898,12.41490454
26,01/07/1998,1998,7,-25.35953079,0.966860701,13,01/07/1998,01/07/1998,12.4453125,12.4453125
28,15/07/1998,1998,6,-15.77849451,0.978547635,14,15/07/1998,01/07/1998,12.4453125,12.4453125
29,22/07/1998,1998,6,-24.43383441,0.967482324,24,22/07/1998,01/07/1998,12.4453125,12.4453125
30,29/07/1998,1998,7,-30.38504776,0.959047595,27,29/07/1998,01/07/1998,12.4453125,12.4453125
31,05/08/1998,1998,6,-25.0570648,0.96865368,21,05/08/1998,01/08/1998,12.34438044,12.30809012
32,12/08/1998,1998,7,-27.94721914,0.964008397,23,12/08/1998,01/08/1998,12.34438044,12.30809012
33,19/08/1998,1998,5,-17.96415694,0.974648347,14,19/08/1998,01/08/1998,12.34438044,12.30809012
34,26/08/1998,1998,3,8.169152885,1.012102295,7,26/08/1998,01/08/1998,12.34438044,12.30809012
35,02/09/1998,1998,5,14.60529941,1.02010431,15,02/09/1998,01/09/1998,11.29772037,10.63105371
36,09/09/1998,1998,4,7.500233422,1.011038128,6,09/09/1998,01/09/1998,11.29772037,10.63105371
37,16/09/1998,1998,3,23.81415812,1.032280006,8,16/09/1998,01/09/1998,11.29772037,10.63105371
38,23/09/1998,1998,7,2.821891585,1.004803338,22,23/09/1998,01/09/1998,11.29772037,10.63105371
39,30/09/1998,1998,7,30.60256385,1.041102501,22,30/09/1998,01/10/1998,11.05589364,10.07888471
40,07/10/1998,1998,6,14.92619205,1.019555834,19,07/10/1998,01/10/1998,11.05589364,10.07888471
41,14/10/1998,1998,3,46.32280714,1.055224261,5,14/10/1998,01/10/1998,11.05589364,10.07888471
42,21/10/1998,1998,3,40.10060942,1.048052177,8,21/10/1998,01/10/1998,11.05589364,10.07888471
43,28/10/1998,1998,6,52.86387879,1.067505348,13,28/10/1998,01/10/1998,11.05589364,10.07888471
44,04/11/1998,1998,6,51.81886948,1.067928342,12,04/11/1998,01/11/1998,11.30895271,9.582295981
45,11/11/1998,1998,6,45.45036785,1.058742723,14,11/11/1998,01/11/1998,11.30895271,9.582295981
46,18/11/1998,1998,4,27.04764145,1.031922921,15,18/11/1998,01/11/1998,11.30895271,9.582295981
47,25/11/1998,1998,6,3.211829184,1.003054319,18,25/11/1998,01/11/1998,11.30895271,9.582295981
48,02/12/1998,1998,6,-14.46805358,0.978478349,10,02/12/1998,01/12/1998,11.90696069,10.00052794
