week,date,year,uniqueinds,weeklyresid,weeklyreldev,n_weeklyresid,date,MonthStart,GroupSize,GroupSize_ExcPups
1,07/01/1998,1998,10,6.115005964,1.010650053,23,07/01/1998,01/01/1998,12.4075,11.88392857
2,14/01/1998,1998,9,27.49403213,1.04294896,21,14/01/1998,01/01/1998,12.4075,11.88392857
3,21/01/1998,1998,8,38.24853963,1.058595517,22,21/01/1998,01/01/1998,12.4075,11.88392857
4,28/01/1998,1998,5,7.004791776,1.010897465,17,28/01/1998,01/01/1998,12.4075,11.88392857
5,04/02/1998,1998,8,-14.77307327,0.978275799,16,04/02/1998,01/02/1998,13.17274869,12.28949472
6,11/02/1998,1998,11,-27.95042469,0.956455302,33,11/02/1998,01/02/1998,13.17274869,12.28949472
7,18/02/1998,1998,9,-38.71657445,0.941524573,30,18/02/1998,01/02/1998,13.17274869,12.28949472
8,25/02/1998,1998,9,-5.897623283,0.99224502,27,25/02/1998,01/02/1998,13.17274869,12.28949472
9,04/03/1998,1998,16,-15.5134316,0.977647195,46,04/03/1998,01/03/1998,13.48321771,12.00916679
10,11/03/1998,1998,16,-18.66594145,0.972315434,78,11/03/1998,01/03/1998,13.48321771,12.00916679
11,18/03/1998,1998,18,-36.13650933,0.94239194,46,18/03/1998,01/03/1998,13.48321771,12.00916679
12,25/03/1998,1998,16,-38.81177306,0.939196798,40,25/03/1998,01/03/1998,13.48321771,12.00916679
13,01/04/1998,1998,16,-25.63160959,0.960473592,42,01/04/1998,01/04/1998,14.33630952,12.6733631
14,08/04/1998,1998,11,-6.009229313,0.992203852,30,08/04/1998,01/04/1998,14.33630952,12.6733631
15,15/04/1998,1998,13,-1.693784753,0.999291967,52,15/04/1998,01/04/1998,14.33630952,12.6733631
16,22/04/1998,1998,12,-11.91453813,0.984554261,48,22/04/1998,01/04/1998,14.33630952,12.6733631
17,29/04/1998,1998,14,-10.70229573,0.985158451,58,29/04/1998,01/04/1998,14.33630952,12.6733631
