week,date,year,uniqueinds,weeklyresid,weeklyreldev,n_weeklyresid,date,MonthStart,GroupSize,GroupSize_ExcPups
1,07/01/1998,1998,8,-11.62480304,0.9815647,14,07/01/1998,01/01/1998,12.4075,11.88392857
2,14/01/1998,1998,11,25.50476308,1.037811838,22,14/01/1998,01/01/1998,12.4075,11.88392857
3,21/01/1998,1998,13,28.74622003,1.046090109,35,21/01/1998,01/01/1998,12.4075,11.88392857
4,28/01/1998,1998,10,11.22619529,1.018260785,32,28/01/1998,01/01/1998,12.4075,11.88392857
5,04/02/1998,1998,11,-11.85137661,0.982134691,28,04/02/1998,01/02/1998,13.17274869,12.28949472
6,11/02/1998,1998,12,-31.91323776,0.952000932,35,11/02/1998,01/02/1998,13.17274869,12.28949472
7,18/02/1998,1998,8,-35.46046905,0.948865843,19,18/02/1998,01/02/1998,13.17274869,12.28949472
8,25/02/1998,1998,14,-12.5020778,0.983264001,35,25/02/1998,01/02/1998,13.17274869,12.28949472
9,04/03/1998,1998,11,-15.00584165,0.979228662,20,04/03/1998,01/03/1998,13.48321771,12.00916679
10,11/03/1998,1998,18,-33.08728195,0.949706128,42,11/03/1998,01/03/1998,13.48321771,12.00916679
11,18/03/1998,1998,21,-40.18903984,0.935887035,52,18/03/1998,01/03/1998,13.48321771,12.00916679
12,25/03/1998,1998,22,-42.97342376,0.931053494,72,25/03/1998,01/03/1998,13.48321771,12.00916679
13,01/04/1998,1998,18,-23.75543206,0.962688139,45,01/04/1998,01/04/1998,14.33630952,12.6733631
14,08/04/1998,1998,11,-19.71273841,0.971381748,27,08/04/1998,01/04/1998,14.33630952,12.6733631
15,15/04/1998,1998,14,1.585215089,1.005564698,37,15/04/1998,01/04/1998,14.33630952,12.6733631
16,22/04/1998,1998,13,6.192504846,1.012462374,28,22/04/1998,01/04/1998,14.33630952,12.6733631
17,29/04/1998,1998,13,10.23537129,1.019202916,41,29/04/1998,01/04/1998,14.33630952,12.6733631
18,06/05/1998,1998,8,20.70118857,1.034444834,22,06/05/1998,01/05/1998,12.66959035,11.64356061
19,13/05/1998,1998,12,27.40118043,1.046367701,31,13/05/1998,01/05/1998,12.66959035,11.64356061
20,20/05/1998,1998,14,16.50462488,1.02698772,27,20/05/1998,01/05/1998,12.66959035,11.64356061
21,27/05/1998,1998,18,11.27633589,1.016959069,38,27/05/1998,01/05/1998,12.66959035,11.64356061
22,03/06/1998,1998,20,12.69997641,1.020786407,56,03/06/1998,01/06/1998,12.54684898,12.41490454
23,10/06/1998,1998,22,7.530890273,1.012206324,62,10/06/1998,01/06/1998,12.54684898,12.41490454
24,17/06/1998,1998,21,5.555972532,1.009065486,45,17/06/1998,01/06/1998,12.54684898,12.41490454
25,24/06/1998,1998,24,2.017356572,1.001903145,42,24/06/1998,01/06/1998,12.54684898,12.41490454
26,01/07/1998,1998,22,-1.068042541,0.996786175,40,01/07/1998,01/07/1998,12.4453125,12.4453125
27,08/07/1998,1998,1,-21.3651828,0.972795862,1,08/07/1998,01/07/1998,12.4453125,12.4453125
28,15/07/1998,1998,18,6.231858832,1.008901743,42,15/07/1998,01/07/1998,12.4453125,12.4453125
29,22/07/1998,1998,21,0.256199866,1.000245104,67,22/07/1998,01/07/1998,12.4453125,12.4453125
30,29/07/1998,1998,23,-4.107686351,0.993602021,81,29/07/1998,01/07/1998,12.4453125,12.4453125
31,05/08/1998,1998,17,-7.11135709,0.989615146,58,05/08/1998,01/08/1998,12.34438044,12.30809012
32,12/08/1998,1998,22,-14.4407239,0.978003922,58,12/08/1998,01/08/1998,12.34438044,12.30809012
33,19/08/1998,1998,18,-12.86304282,0.979605038,45,19/08/1998,01/08/1998,12.34438044,12.30809012
34,26/08/1998,1998,12,-9.759658526,0.987469056,26,26/08/1998,01/08/1998,12.34438044,12.30809012
35,02/09/1998,1998,22,10.22404899,1.016717955,48,02/09/1998,01/09/1998,11.29772037,10.63105371
36,09/09/1998,1998,16,8.446730253,1.012740455,20,09/09/1998,01/09/1998,11.29772037,10.63105371
37,16/09/1998,1998,12,12.15636072,1.017682872,25,16/09/1998,01/09/1998,11.29772037,10.63105371
38,23/09/1998,1998,18,24.00839803,1.038757696,65,23/09/1998,01/09/1998,11.29772037,10.63105371
39,30/09/1998,1998,20,52.70916312,1.090034194,69,30/09/1998,01/10/1998,11.05589364,10.07888471
40,07/10/1998,1998,19,35.078198,1.057277566,64,07/10/1998,01/10/1998,11.05589364,10.07888471
41,14/10/1998,1998,13,40.09718619,1.065986824,21,14/10/1998,01/10/1998,11.05589364,10.07888471
42,21/10/1998,1998,14,69.4845652,1.108877713,24,21/10/1998,01/10/1998,11.05589364,10.07888471
43,28/10/1998,1998,10,55.94253967,1.089754692,24,28/10/1998,01/10/1998,11.05589364,10.07888471
44,04/11/1998,1998,13,61.27160733,1.098938591,30,04/11/1998,01/11/1998,11.30895271,9.582295981
45,11/11/1998,1998,12,44.11482444,1.068394036,28,11/11/1998,01/11/1998,11.30895271,9.582295981
46,18/11/1998,1998,15,21.05240318,1.032675271,44,18/11/1998,01/11/1998,11.30895271,9.582295981
47,25/11/1998,1998,18,13.06636602,1.020360459,50,25/11/1998,01/11/1998,11.30895271,9.582295981
48,02/12/1998,1998,19,2.838884619,1.00386853,47,02/12/1998,01/12/1998,11.90696069,10.00052794
49,09/12/1998,1998,17,-11.35085101,0.982532688,48,09/12/1998,01/12/1998,11.90696069,10.00052794
50,16/12/1998,1998,16,7.631744901,1.011360243,59,16/12/1998,01/12/1998,11.90696069,10.00052794
51,23/12/1998,1998,18,10.03817325,1.016177242,58,23/12/1998,01/12/1998,11.90696069,10.00052794
