Date,year,uniqueinds,mean_morningmass,mean_massresid,mean_percentmassgain,mean_absmassgain,ConditionChange_t_t1
16/07/2002,2002,65,717.2022472,14.72205405,4.202324508,29.80898876,0.502340332
23/07/2002,2002,92,722.9176471,15.22439438,4.701456882,33.12941176,1.134583221
30/07/2002,2002,80,713.2993631,16.3589776,4.721573203,33.37579618,-1.523512149
06/08/2002,2002,69,733.2926829,14.83546545,3.832446657,27.52439024,-10.21387824
13/08/2002,2002,90,715.1666667,4.621587209,4.926544229,35.2962963,-0.352190551
20/08/2002,2002,66,709.8139535,4.269396659,4.546519873,32.03488372,-9.002343018
27/08/2002,2002,94,703.1381579,-4.732946359,4.47163917,31.34210526,10.77462771
03/09/2002,2002,78,704.3703704,6.041681347,3.912391712,27.25925926,-8.073010219
10/09/2002,2002,67,716.7889908,-2.031328872,4.628057572,32.79816514,5.69381859
17/09/2002,2002,78,723.5806452,3.662489718,3.429792036,24.20645161,-27.04225134
24/09/2002,2002,63,694.7368421,-23.37976162,4.449461146,30.52631579,14.58794507
01/10/2002,2002,66,713.9453125,-8.79181655,3.684976133,26.3984375,3.570386363
08/10/2002,2002,70,708.9711538,-5.221430187,4.910364707,34.45192308,22.18423875
15/10/2002,2002,60,714.8433735,16.96280857,6.585067216,46.61445783,26.02946147
22/10/2002,2002,54,729.5671642,42.99227003,3.252801163,23.32835821,12.08539896
29/10/2002,2002,40,742.8,55.07766899,4.326035451,30.425,1.121630753
05/11/2002,2002,40,728.2727273,56.19929974,4.40097911,32.29545455,-20.8674713
12/11/2002,2002,27,765.3783784,35.33182845,4.32054348,31.62162162,-22.66462639
19/11/2002,2002,33,713.05,12.66720205,4.262168305,30.15,-17.95468617
26/11/2002,2002,19,657.4074074,-5.287484115,5.631693132,36.74074074,-27.0277538
03/12/2002,2002,10,658.6,-32.31523791,5.365441611,35.8,18.26374595
10/12/2002,2002,37,657.1081081,-14.05149196,4.442350703,29.2972973,10.01293477
